Salon Name,Phone,Address,Rating,Reviews,Website,Latitude,Longitude
Looks and Trends Women Parlour & Boutique,063013 15211,"Plot no, Gokul Plots, 987 - 990 Venkateshwara arcade, 13th Phase Rd, Kukatpally Housing Board Colony, Venkata Ramana Colony, Hafeezpet, Hyderabad, Telangana 500085, India",4.9,68,,17.4840155,78.37734259999999
"Lakme Salon in Malaysian Township,Hyderabad",072070 41666,"Second floor, 6th Phz, above Axis Bank, Kukatpally Housing Board Colony, K P H B Phase 3, Kukatpally, Hyderabad, Telangana 500085, India",4.8,1644,https://salons.lakmesalon.in/lakme-salon-in-malaysian-township-hyderabad-malaysian-township-hyderabad-beauty-parlour-kukatpally-hyderabad-395664/Home,17.4865564,78.39069789999999
Renu Sree Ladies Beauty & Spa,099491 76736,"Rd Number 2, near KPHB Metro Station, Kukatpally Housing Board Colony, K P H B Phase 1, LIG 13, Hyderabad, Telangana 500072, India",4.5,144,,17.4933126,78.4008893
Srivalli Beauty Parlour,099660 91135,"F9PV+RXQ, Kukatpally Housing Board Colony, KPHB Phase 2, Kukatpally, Hyderabad, Telangana 500072, India",4.8,471,,17.4871065,78.39504389999999
Looks Beauty Parlour for Ladies,080198 17278,"15-24-520, Plot-520, MIG - I, Phase - I & II, Bus Stop, Towards, Rd Number 1, opp. RK Towers, near Temple, Kukatpally Housing Board Colony, KPHB Phase 2, Kukatpally, Hyderabad, Telangana 500072, India",4.7,91,,17.4865662,78.3971938
"Manea the Salon - KPHB, Phase 2",091704 36666,"H.No. 216/HIG, 1st floor, next to Bank of Baroda, Kukatpally Housing Board Colony, Phase-I & II, Kukatpally, Hyderabad, Telangana 500072, India",4.9,1204,http://www.maneathesalon.com/kphb2,17.4912481,78.3989842
PnB Pony Salons Men and Women - KPHB,063053 67655,"VRK Silks, back side, LIG 622, above Arun Ice Creams, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.8,1049,https://www.ponysalons.com/,17.4950187,78.3970343
Zara's beauty salon,091365 61919,"Mig-2 106, Kukatpally Housing Board Colony, K P H B Phase 9, Kukatpally, Hyderabad, Telangana 500085, India",4.8,71,,17.4853184,78.38315779999999
RB Royal Beauty ladies salon,,"SBI Bank, Gokul Plots circle, opposite Hyderabad, 9th Phase, Venkata Ramana Colony, KPHB, Hyderabad, Telangana 500085, India",4.9,90,,17.4878266,78.3817656
Cvet Salon Beauty Parlour Services At Home For Ladies,093985 92921,"5-36/3, opposite to Bashkara Resindential Palace, Prakash Nagar, Kukatpally, Hyderabad, Telangana 500072, India",4.9,136,,17.4899903,78.4192327
"GREATFULHEADS FAMILY SALON- hair & beauty, KPHB ROAD NO 1",090522 50708,"2nd floor, opp: holistic hospital, Mig-164, Rd Number 1, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.8,636,,17.4889826,78.4002288
Nainiron unisex luxury salon,096666 88629,"Gokul Plots, Opp to Prajay Megapolis 1st Floor, Anus Plaza, 13th Phase Road Venkata Ramana Colony, Kukatpally Housing Board Colony, Venkata Ramana Colony, Hafeezpet, Hyderabad, Telangana 500085, India",4.9,751,http://nainironsalon.com/,17.4824614,78.3799901
"Rituals Family Salon | KPHB, Hyderabad",070977 60034,"2nd Floor, Mahalaxmi Pinnacle, Ks Bakers Lane, Kukatpally Housing Board Colony, K P H B Phase 6, Kukatpally, Hyderabad, Telangana 500085, India",5,219,,17.4874314,78.3903829
"Amjad Habib Hair & Beauty Premium Salon, Kukatpally",083675 55544,"1st floor, Jyothi arcade, 20/6, KPHB 6th Phase Rd, Opp. to NEXUS Mall Exit Gate, above IOB Bank, Kukatpally Housing Board Colony,, Kukatpally, By Stair Case, Down to Golkondaa Biryani House, Kukatpally Housing Board Colony, K P H B Phase 6, Kukatpally, Hyderabad, Telangana 500085, India",4.9,288,https://www.amjadhabib.net/,17.4851471,78.3889965
Roja's Natural Beauty Salon & Studio,079812 24030,"LIG 547, Rd Number 3, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.9,405,,17.493753,78.39933529999999
Navya sri Ladies Beauty salon,094921 33201,"4-32-243, Buss stop, Plot No-52-B, Kukatpally - Jagathgiri Gutta Rd, opp. Rishitha Curries, 1st Phase Allwyn Colony, Allwyn Colony, Kukatpally, Hyderabad, Telangana 500072, India",4.9,174,,17.5016842,78.418803
Pretty womens salon,083099 17657,"1st floor, Sri Rama Sridhar residency, Hig 13, opposite to little tots international school, Kukatpally Housing Board Colony, K P H B Phase 9, Kukatpally, Hyderabad, Telangana 500085, India",4.4,44,,17.4852951,78.38640389999999
Glow up Hair and beauty parlour,095151 93622,"HIG 103, KPHB 5th Phase Rd, Kukatpally Housing Board Colony, KPHB 5th Phase, Kukatpally, Hyderabad, Telangana 500085, India",4.5,177,http://www.glowup.com/,17.4799965,78.3928358
